image,labels,n_objects,contains_top,split
KDqq972r3xPk66aEDzc72g,"['regulatory--no-entry--g1', 'regulatory--no-entry--g1']",2,['regulatory--no-entry--g1'],train
KEpy6nzv5Elm2ElPGdRZ8g,"['warning--pedestrians-crossing--g5', 'regulatory--u-turn--g1', 'regulatory--pass-on-either-side--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",9,['information--pedestrians-crossing--g1'],train
KF2csWObSdxahQEKywqm1g,"['information--end-of-motorway--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,['regulatory--yield--g1'],train
KFdOmnvlica-safYQdpPYA,"['information--pedestrians-crossing--g1', 'regulatory--no-stopping--g15']",2,['information--pedestrians-crossing--g1'],train
KFmTVvPxqmM0t58JpytDQw,"['regulatory--keep-right--g1', 'information--end-of-built-up-area--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--end-of-built-up-area--g1', 'other-sign', 'other-sign', 'regulatory--turn-right--g1', 'regulatory--go-straight-or-turn-left--g1', 'information--parking--g1', 'regulatory--dual-path-bicycles-and-pedestrians--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign']",16,['regulatory--yield--g1'],train
KFtrGBW4sfk_dBawelDTlw,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-right-unsure--g6', 'complementary--chevron-right-unsure--g6', 'complementary--chevron-right-unsure--g6', 'information--airport--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",36,['regulatory--no-entry--g1'],train
KFvffegV42iXJnwqCjHfgg,"['other-sign', 'complementary--chevron-right--g1']",2,['complementary--chevron-right--g1'],train
KG1un2fSIJkp7zExvol-gg,"['other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1']",7,"['regulatory--yield--g1', 'regulatory--no-entry--g1']",train
KGJKwxlEFwxc5tQcgt3meQ,"['regulatory--keep-right--g6', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g2', 'complementary--chevron-left--g2', 'complementary--chevron-left--g2', 'complementary--chevron-left--g2']",7,['complementary--chevron-left--g1'],train
KGOT3lG7shYkCm6PK9BZsA,"['information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1']",2,['information--pedestrians-crossing--g1'],train
