image_path,split,label,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_path
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/F5nURG7Js8IT2zK7XQFwow.jpg,train,information--pedestrians-crossing--g1,3219,1992,3380,2115,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/F5nURG7Js8IT2zK7XQFwow_3219-1992-3380-2115_information--pedestrians-crossing--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/FA8_izPkjtswLtnk4RBVrw.jpg,val,regulatory--stop--g1,1988,1482,2039,1533,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/val/FA8_izPkjtswLtnk4RBVrw_1988-1482-2039-1533_regulatory--stop--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/FCqxVcPR56mZtuZFT2J-Kg.jpg,test,regulatory--no-entry--g1,1034,1668,1233,1873,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/test/FCqxVcPR56mZtuZFT2J-Kg_1034-1668-1233-1873_regulatory--no-entry--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/FGV58tIppLLdgsEoyGAIKQ.jpg,val,other-sign,666,1570,696,1594,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/val/FGV58tIppLLdgsEoyGAIKQ_666-1570-696-1594_other-sign.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/FJFVuWZqEsNtE7q7JJKdbQ.jpg,val,regulatory--yield--g1,2027,644,2079,689,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/val/FJFVuWZqEsNtE7q7JJKdbQ_2027-644-2079-689_regulatory--yield--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/FJFVuWZqEsNtE7q7JJKdbQ.jpg,val,regulatory--yield--g1,2615,548,2666,598,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/val/FJFVuWZqEsNtE7q7JJKdbQ_2615-548-2666-598_regulatory--yield--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/F_5-UqehJZ06mfPuKzVBww.jpg,test,regulatory--yield--g1,1076,1372,1112,1411,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/test/F_5-UqehJZ06mfPuKzVBww_1076-1372-1112-1411_regulatory--yield--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/FdQ_kp2j2rRdDQzmBt9rBw.jpg,train,information--pedestrians-crossing--g1,2957,1589,3199,1862,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/FdQ_kp2j2rRdDQzmBt9rBw_2957-1589-3199-1862_information--pedestrians-crossing--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/Ftd7kpmSu4dal8lp2kaJew.jpg,train,information--pedestrians-crossing--g1,2713,1366,2751,1458,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/Ftd7kpmSu4dal8lp2kaJew_2713-1366-2751-1458_information--pedestrians-crossing--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/G2VtJkk7GOvQaRzSAbcxlA.jpg,val,information--pedestrians-crossing--g1,1235,1647,1272,1691,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/val/G2VtJkk7GOvQaRzSAbcxlA_1235-1647-1272-1691_information--pedestrians-crossing--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/G3eo-qKRqIxYvrl5Zny7ew.jpg,train,regulatory--no-entry--g1,1629,1023,1645,1047,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/G3eo-qKRqIxYvrl5Zny7ew_1629-1023-1645-1047_regulatory--no-entry--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/G3iyTzq0QA8mURH66GJhog.jpg,train,regulatory--yield--g1,1433,1214,1479,1298,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/G3iyTzq0QA8mURH66GJhog_1433-1214-1479-1298_regulatory--yield--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/G6x-YZNF-FI2rsGR48VbPg.jpg,val,regulatory--stop--g1,2623,1717,2827,1917,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/val/G6x-YZNF-FI2rsGR48VbPg_2623-1717-2827-1917_regulatory--stop--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/G6x-YZNF-FI2rsGR48VbPg.jpg,val,regulatory--stop--g1,708,1609,915,1791,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/val/G6x-YZNF-FI2rsGR48VbPg_708-1609-915-1791_regulatory--stop--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/G9DJyGFyVzNGH27p9PzbZA.jpg,train,information--pedestrians-crossing--g1,2725,1527,2783,1586,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/G9DJyGFyVzNGH27p9PzbZA_2725-1527-2783-1586_information--pedestrians-crossing--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/GQSPWqSlgst-hd5mQyecNw.jpg,train,regulatory--yield--g1,1918,1257,1957,1383,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/GQSPWqSlgst-hd5mQyecNw_1918-1257-1957-1383_regulatory--yield--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/GT_fY0raDfKqf_9zzQi3Kg.jpg,val,regulatory--yield--g1,2985,1197,3275,1460,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/val/GT_fY0raDfKqf_9zzQi3Kg_2985-1197-3275-1460_regulatory--yield--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/GU3D-4a_9Jm6rXlAS7E8HA.jpg,train,regulatory--yield--g1,3777,946,3819,975,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/GU3D-4a_9Jm6rXlAS7E8HA_3777-946-3819-975_regulatory--yield--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/GUy9Kxl2_jjxGuBhGvMeCg.jpg,train,regulatory--no-entry--g1,2308,1331,2385,1391,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/GUy9Kxl2_jjxGuBhGvMeCg_2308-1331-2385-1391_regulatory--no-entry--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/GaPBEd7fEw4EWSgCRWETPw.jpg,train,information--pedestrians-crossing--g1,2435,2024,2509,2101,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/GaPBEd7fEw4EWSgCRWETPw_2435-2024-2509-2101_information--pedestrians-crossing--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/GbPUSY8rUWmtjsUKAj-RNw.jpg,test,regulatory--no-entry--g1,849,1302,1011,1458,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/test/GbPUSY8rUWmtjsUKAj-RNw_849-1302-1011-1458_regulatory--no-entry--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/GeFWyQdvTvEePVZfopynpA.jpg,val,regulatory--no-entry--g1,2293,1481,2359,1558,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/val/GeFWyQdvTvEePVZfopynpA_2293-1481-2359-1558_regulatory--no-entry--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/GfQF2sUzZFQWxeTdFh-mcA.jpg,test,information--pedestrians-crossing--g1,1940,1385,2026,1470,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/test/GfQF2sUzZFQWxeTdFh-mcA_1940-1385-2026-1470_information--pedestrians-crossing--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/GiJtDRsFhps14GpWwBt9Gg.jpg,train,regulatory--yield--g1,973,430,1128,606,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/GiJtDRsFhps14GpWwBt9Gg_973-430-1128-606_regulatory--yield--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/GnzT6XatbusIXQxZ__jypw.jpg,test,regulatory--stop--g1,1699,586,1744,630,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/test/GnzT6XatbusIXQxZ__jypw_1699-586-1744-630_regulatory--stop--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/GtQJj8GvDiDDx8HTjV41-A.jpg,train,regulatory--stop--g1,3560,1070,3640,1218,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/GtQJj8GvDiDDx8HTjV41-A_3560-1070-3640-1218_regulatory--stop--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/Gtx_nPqiD93P1ROUBrD_Og.jpg,train,regulatory--stop--g1,1969,1258,2029,1318,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/Gtx_nPqiD93P1ROUBrD_Og_1969-1258-2029-1318_regulatory--stop--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/Gu3YoJy3MXQZnrQRGmejWQ.jpg,test,information--pedestrians-crossing--g1,1852,335,1933,430,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/test/Gu3YoJy3MXQZnrQRGmejWQ_1852-335-1933-430_information--pedestrians-crossing--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/HK_1G6bBP05ymqNHffWOlg.jpg,train,information--pedestrians-crossing--g1,1499,2203,1566,2262,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/HK_1G6bBP05ymqNHffWOlg_1499-2203-1566-2262_information--pedestrians-crossing--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/HLJyyzj0meI5Szy4cBBOAA.jpg,train,regulatory--yield--g1,3971,901,4008,931,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/HLJyyzj0meI5Szy4cBBOAA_3971-901-4008-931_regulatory--yield--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/HLc8T-UoNvi4Ra4tAYEmeg.jpg,train,regulatory--yield--g1,505,756,530,788,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/HLc8T-UoNvi4Ra4tAYEmeg_505-756-530-788_regulatory--yield--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/HR1t6azzIvruHL5sce4t-g.jpg,train,other-sign,2176,1603,2228,1659,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/HR1t6azzIvruHL5sce4t-g_2176-1603-2228-1659_other-sign.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/HR1t6azzIvruHL5sce4t-g.jpg,train,other-sign,2075,1616,2110,1651,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/HR1t6azzIvruHL5sce4t-g_2075-1616-2110-1651_other-sign.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/HR1t6azzIvruHL5sce4t-g.jpg,train,other-sign,2185,1563,2224,1608,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/HR1t6azzIvruHL5sce4t-g_2185-1563-2224-1608_other-sign.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/HUl0QQylGtN0rTdLhkRw5Q.jpg,val,regulatory--stop--g1,2151,1639,2217,1706,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/val/HUl0QQylGtN0rTdLhkRw5Q_2151-1639-2217-1706_regulatory--stop--g1.png
/data/project/MSA8395/mapillary_traffic_sign_dataset/images/HYCKhR22x0B5goyTzY53-A.jpg,train,information--pedestrians-crossing--g1,1311,1193,1395,1277,/home/aprabhakar4/Computer-Vision-Assignment/results/preproc_signs/train/HYCKhR22x0B5goyTzY53-A_1311-1193-1395-1277_information--pedestrians-crossing--g1.png
