image,labels,n_objects,split,contains_top
KImqFhNLb1Tqm-wkX2yoCw,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--keep-right--g1', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-motor-vehicles-except-motorcycles--g1']",17,train,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1']"
KJJi1wNbQ85oJ-fa_36eng,"['complementary--chevron-left--g1', 'regulatory--stop--g10', 'regulatory--stop--g10', 'other-sign', 'complementary--chevron-left--g1', 'warning--railroad-crossing-without-barriers--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'warning--railroad-crossing-without-barriers--g3', 'complementary--chevron-right--g1']",12,train,"['other-sign', 'complementary--chevron-left--g1']"
KLHf_z8-MS1TYOQROE_qSg,"['other-sign', 'other-sign', 'other-sign']",3,train,['other-sign']
KMLpLjrgsGuRCapYRHxAUg,['other-sign'],1,train,['other-sign']
KMNzZNHbHnNOldEblW59MA,"['other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign']",4,val,"['other-sign', 'regulatory--yield--g1']"
KPeOVzTuHcCnC-qHYG-KlQ,"['regulatory--one-way-right--g1', 'regulatory--no-parking--g1', 'regulatory--no-entry--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'complementary--tow-away-zone--g1', 'other-sign', 'other-sign']",11,test,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1']"
KUkjGuM9RPPUmaH49Z4klg,"['other-sign', 'regulatory--weight-limit--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign']",7,test,"['other-sign', 'information--pedestrians-crossing--g1']"
KXQGp1eQudhHJcLvVmRD-Q,"['regulatory--no-stopping--g15', 'regulatory--pedestrians-only--g2', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'complementary--tow-away-zone--g1']",6,train,"['other-sign', 'information--pedestrians-crossing--g1']"
Ka6_wlDMusNLeVhHvNqAQA,"['other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign']",6,train,"['other-sign', 'complementary--chevron-left--g1']"
KfFjMfpbuUXL6M0y2qc6VA,"['warning--railroad-crossing--g1', 'regulatory--parking-restrictions--g2', 'other-sign', 'other-sign']",4,train,['other-sign']
Khd9Z21d3le97ljaeVXk4w,"['regulatory--no-stopping--g2', 'other-sign', 'other-sign', 'other-sign']",4,train,['other-sign']
KkcwQSHRG25vhnNtfgaU_g,"['regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--roundabout--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,train,"['other-sign', 'regulatory--yield--g1']"
